platform,sceneid,productid,acqdate,tileid
Sentinel 2,S2B_MSIL1C_20190808T075619_N0208_R035_T39VUC_20190808T101602,ab246412-171e-4b2e-a804-a8c26f9dd636,2019-08-08 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20190808T075619_N0208_R035_T39UUB_20190808T101602,6e3690e3-55bd-4998-b7c8-94a8d3bdbfbc,2019-08-08 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20190808T075619_N0208_R035_T39VVC_20190808T101602,928c0657-23be-4b52-a2ab-6c280171c956,2019-08-08 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20190726T074619_N0208_R135_T39UUB_20190726T095038,898653fb-a47c-4d3a-99ae-41d86a2a4141,2019-07-26 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20190726T074619_N0208_R135_T39UVB_20190726T095038,f02eddf6-f5db-4ea5-b744-878f3f012e38,2019-07-26 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20190726T074619_N0208_R135_T39VVC_20190726T095038,859b797a-55d0-4f9f-88b0-4e64d0d07f98,2019-07-26 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20190726T074619_N0208_R135_T39VUC_20190726T095038,2b274467-d565-4bed-ac10-9a02a8e1a093,2019-07-26 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20190724T075611_N0208_R035_T39VUC_20190724T094704,9db37498-ce23-47ef-8fb8-8fddca6e66e0,2019-07-24 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20190724T075611_N0208_R035_T39VVC_20190724T094704,10db51df-002a-41a5-866a-5fa09fa9ac9e,2019-07-24 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20190724T075611_N0208_R035_T39UUB_20190724T094704,7a287b29-9c36-4365-a30f-c7d98a3a7dde,2019-07-24 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20190724T075611_N0208_R035_T39UVB_20190724T094704,19fad3cc-e4b6-438c-95af-34a88d8bc394,2019-07-24 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20190719T075619_N0208_R035_T39UUB_20190719T100012,1a1ec546-5fe2-44e0-8f8b-728f2ffea984,2019-07-19 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20190716T074619_N0208_R135_T39VVC_20190716T095011,ab8277fe-ca80-4bdf-bb08-e0073f8a073f,2019-07-16 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20190716T074619_N0208_R135_T39UVB_20190716T095011,776ea46f-ebbd-42fb-8bda-b8d6898086b3,2019-07-16 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20190716T074619_N0208_R135_T39VUC_20190716T095011,67179cfd-bdcf-4c65-9071-387f1e5e183c,2019-07-16 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20190716T074619_N0208_R135_T39UUB_20190716T095011,1b57b8c3-2580-40a2-8f44-aa61994eefa5,2019-07-16 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20190714T075611_N0208_R035_T39VUC_20190714T092656,4fa26ac4-597d-48de-bce3-dcd5fce8d7ed,2019-07-14 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20190714T075611_N0208_R035_T39UVB_20190714T092656,1ded2d69-826b-49af-8360-b8a7bce25320,2019-07-14 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20190714T075611_N0208_R035_T39VVC_20190714T092656,9fd9bb6b-fa95-4557-a29a-c65723642615,2019-07-14 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20190711T074621_N0208_R135_T39UVB_20190711T091435,8df66f7f-893d-4a0f-9c59-943420af2cee,2019-07-11 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20190711T074621_N0208_R135_T39VVC_20190711T091435,d7f97d11-49ae-4557-80c4-e9a0ab0ddcdd,2019-07-11 00:00:00,T39VVC
